provider_name,cohort_year,course_identifier,recruitment_target,per_participant,service_fee_installments,special_course,monthly_service_fee
Ambition Institute,2024,npq-early-headship-coaching-offer,1068,168,0,FALSE,0.0
Best Practice Network,2024,npq-early-headship-coaching-offer,1069,169,0,FALSE,0.0
Church of England,2024,npq-early-headship-coaching-offer,1070,170,0,FALSE,0.0
Education Development Trust,2024,npq-early-headship-coaching-offer,1071,171,0,FALSE,0.0
School-Led Network,2024,npq-early-headship-coaching-offer,1072,172,0,FALSE,0.0
LLSE,2024,npq-early-headship-coaching-offer,1073,173,0,FALSE,0.0
Teach First,2024,npq-early-headship-coaching-offer,1074,174,0,FALSE,0.0
Teacher Development Trust,2024,npq-early-headship-coaching-offer,1075,175,0,FALSE,0.0
UCL Institute of Education,2024,npq-early-headship-coaching-offer,1076,176,0,FALSE,0.0
National Institute of Teaching,2024,npq-leading-teaching,100,800,24,FALSE,0.0
National Institute of Teaching,2024,npq-leading-behaviour-culture,101,801,24,FALSE,0.0
National Institute of Teaching,2024,npq-leading-teaching-development,102,802,24,FALSE,0.0
National Institute of Teaching,2024,npq-senior-leadership,103,803,24,FALSE,0.0
National Institute of Teaching,2024,npq-headship,104,804,24,FALSE,0.0
National Institute of Teaching,2024,npq-executive-leadership,105,805,24,FALSE,0.0
National Institute of Teaching,2024,npq-leading-literacy,106,806,24,FALSE,0.0
National Institute of Teaching,2024,npq-early-years-leadership,107,807,24,FALSE,0.0
National Institute of Teaching,2024,npq-early-headship-coaching-offer,1000,800,0,FALSE,0.0
National Institute of Teaching,2024,npq-senco,150,902,19,FALSE,0,0.0
Ambition Institute,2024,npq-leading-primary-mathematics,1007,107,19,TRUE
Best Practice Network,2024,npq-leading-primary-mathematics,1013,113,25,TRUE
Church of England,2024,npq-leading-primary-mathematics,1019,119,31,TRUE
Education Development Trust,2024,npq-leading-primary-mathematics,1027,127,39,TRUE
School-Led Network,2024,npq-leading-primary-mathematics,1035,135,47,TRUE
LLSE,2024,npq-leading-primary-mathematics,1043,143,55,TRUE
Teach First,2024,npq-leading-primary-mathematics,1051,151,63,TRUE
Teacher Development Trust,2024,npq-leading-primary-mathematics,1059,159,71,TRUE
UCL Institute of Education,2024,npq-leading-primary-mathematics,1067,167,79,TRUE
National Institute of Teaching,2024,npq-leading-primary-mathematics,1000,800,0,TRUE
