id,urn,name,school_type_code,address_line1,address_line2,address_line3,postcode,network_id,domains,school_type_name,ukprn,school_phase_type,school_phase_name,school_website,school_status_code,school_status_name,secondary_contact_email,primary_contact_email,administrative_district_code,administrative_district_name,slug,section_41_approved
77a2d952-4c70-4901-be94-0cb1e8ffaccc,10020,Doyle-Langworth,,58824 Mann Court,West Sussex,,Z0 3GB,,[],,,,,http://wolff.net/everett_champlin,,,oscar.larson@bins-sipes.name,warren_predovic@miller.name,,,guess-marine,false
78475fbc-e50d-42a6-8d4f-dea23a9172ff,10021,ZZ Test School 203,1,36318 Miesha Radial,Nottinghamshire,,WE6E 9BN,,[],,,,,http://collins-kozey.biz/samuel.yundt,1,,cyrus.gerlach@yost.co,jimmie@schinner-moore.info,,,seller_plain,false
8ffed3b1-042b-4203-8fbc-c523c84868d3,10022,Nienow and Sons,,764 Heaney Lakes,Tyne and Wear,,ZH4 6AJ,,[],,,,,http://bashirian.com/kimberley_hickle,,,lorenzo.crist@reichel-swaniawski.org,ron@ryan.name,,,galaxy-twilight,false
a1a31d76-46cf-41cd-acb1-62a051411365,10023,ZZ Test School 206,1,87832 Katheryn Turnpike,Cumbria,,W2 4NA,,[],,,,,http://mante.name/damon,1,,victor_ryan@white-haley.net,tiffaney@metz.info,,,kidnap-corpse,false
a4194caf-6a72-47ea-950a-854eae478edf,10024,Volkman Group,,795 Sonia Trafficway,Surrey,,YK6 6LD,,[],,,,,http://grady-ziemann.info/bettina,,,leonie@mueller-schneider.name,cory.crona@morissette-leuschke.com,,,premium-glow,false
a9fc822d-007d-4f40-a285-d659e0b8779f,10025,ZZ Test School 8,1,3604 Collene Inlet,South Yorkshire,,Y9 5AA,,[],,,,,http://kassulke-kuvalis.io/loyd,1,,carly@mosciski-stehr.org,valencia@homenick.biz,,,onion-general,false
b6d4c194-6a47-4403-bc35-414ff939c118,10026,"West, Orn and Stehr",,7487 Stracke Mountains,Gwynedd County,,Z2E 2BA,,[],,,,,http://cole-runolfsson.biz/rico.kuvalis,,,carmelo@waelchi-upton.biz,haywood@johns.biz,,,linger-turkey,false
bc5fa64e-97f3-4e68-ae26-39b1856ccb88,10027,ZZ Test School 14,1,4765 Chung Flats,North Yorkshire,,SW6E 0FJ,,[],,,,,http://legros.co/rosamaria,1,,blair_zboncak@murazik.net,tiana@schamberger-considine.org,,,marine_conglomerate,false
c30dc454-718a-4b52-855f-19a6efffd310,10028,Example school,1,2508 Verda Skyway,County Down,,W2U 2NL,,[],,,,,http://ohara-rau.co/johnetta_bruen,1,,edgar@crooks.io,reagan_turcotte@bartoletti.org,,,plain_highway,false
c3983383-19c6-4cf5-b55e-a196975938db,10029,ZZ Test School 3,1,67006 Ernser Street,Gwent,,R3P 6BA,,[],,,,,http://bernhard-murphy.io/judson,1,,allene_legros@conn-dubuque.net,nita_schmeler@kassulke.name,,,capital-hypothesis,false
c73e29f8-2acc-4ca1-b2cb-c781e1064157,10030,ZZ Test School 2,1,69896 Janay Ferry,East Sussex,,UU5E 2HA,,[],,,,,http://raynor.info/roselee,1,,deborah.kunde@feest-durgan.biz,jeannetta@pagac.name,,,hope-scale,false
c7aab919-5748-4659-92c0-1213bf10e1dd,10031,ZZ Test School 11,1,624 Collen Lakes,South Glamorgan,,Y3 6AG,,[],,,,,http://crona-heidenreich.io/darrel_hagenes,1,,evan@rogahn.org,shawnta.strosin@howell.io,,,relationship-cruelty,false
d6e0e524-28f0-4849-aca6-33129e954b75,10032,"Russel, Gleason and Balistreri",,16231 Addie Course,Essex,,Y5P 0XJ,,[],,,,,http://wisozk.info/gail.pollich,,,clara.will@morissette.co,carman@kshlerin-swaniawski.info,,,ample_patience,false
d7f6b3cf-2737-411d-9232-1e6c4098fdd8,10033,ZZ Test School 1,1,694 Champlin Ports,Gloucestershire,,RE1 0NB,,[],,,,,http://mills.co/eliana_wisozk,1,,milo@cruickshank-schowalter.co,charlie@heaney.net,,,report-ample,false
d9688588-e9ba-42b1-82b4-86fefca462a2,10034,ZZ TEST CIP only school,10,719 Mayert Dale,Borders,,Y5 6NG,,[],,,,,http://morar-mckenzie.net/timothy,1,,malcolm@robel-goldner.biz,joane.cole@okuneva.co,,,thirsty-doctor,false
dedca790-f821-4f72-8b54-2926853ae533,10035,ZZ Test School 16,1,996 Moore Ranch,Gwent,,Y0T 8NB,,[],,,,,http://dibbert.net/floretta.wisoky,1,,erna@okuneva.co,christi.kutch@cartwright.net,,,hope-provision,false
e3e2ba59-313e-40c9-8119-29744fde30f3,10036,Murphy-Lowe,,1525 Jami Walk,Suffolk,,EX7W 4RA,,[],,,,,http://mraz-skiles.biz/melvin.bartoletti,,,kenny@douglas.info,melodee_hoeger@wiza.biz,,,cutting_curriculum,false
e6e52ae1-8078-4456-9eca-7cbcbdb60b54,10037,Example school three,1,6881 Waters River,Greater Manchester,,Y8 8BW,,[],,,,,http://lakin.net/asa,1,,chester_lehner@mccullough-collins.biz,lauryn_jerde@watsica.biz,,,thank-notebook,false
f03e5c85-cb1d-4a32-a412-7e6a98dd8afc,10038,Schuppe-Nolan,,7181 Freddie Turnpike,Tyne and Wear,,I8H 3AL,,[],,,,,http://borer.org/dave.windler,,,maurice_mayert@bailey.com,eneida@barrows.co,,,hope-award,false
f2e4316f-af89-4779-86f3-ac16bb373275,10039,"Hermann, Waelchi and Gleichner",,58438 Adam Shores,Nottinghamshire,,ON0 8HG,,[],,,,,http://bergstrom.org/marquerite,,,jina_maggio@schaefer.org,floy_cartwright@predovic-morar.biz,,,general_judge,false
f6545976-bd6e-40e5-bc7d-7f20cc83f436,10040,ZZ Test School 200,1,80464 Davida Bypass,Cornwall,,W4 1EJ,,[],,,,,http://cassin-streich.io/horacio,1,,abdul@reynolds-bergnaum.info,marinda@lesch.info,,,onion_general,false
fc826788-97a6-4145-94d7-2ffe66a86012,10041,ZZ Test School 205,1,864 Dooley Walks,Staffordshire,,W9C 6AL,,[],,,,,http://crooks.info/gail,1,,alexa@bailey.io,crissy.kautzer@roob.name,,,cutting_freckle,false
fd847c4e-d9da-46e1-81b6-dee1518cb26d,10042,ZZ Test School 10,1,4566 Hoppe Fort,Staffordshire,,L7 2QA,,[],,,,,http://tremblay.info/guadalupe_kovacek,1,,royce@keeling.io,arleen.weimann@bergnaum-wehner.net,,,freckle_conglomerate,false
